Text,Sentiment_Score,Sentiment_Label
" man, I am really sorry",0.88503873,negative
watching the jobros live chat .. not live though  haha.,0.6331701,neutral
wow.. tomorrow and then it`s over. i`ll never see some of those people again. it`s kind of sad.,0.9645099,negative
NCAA Baseball Road 2 Omaha: South Carolina just hit a 3-run homerun. Dagger 2 my heart.    Mason 1 - South Carolina 3..,0.66805047,neutral
" I send messages to greg all the time, no answer  its ok I still love o & a, goog luck with your move to Erie.",0.8357891,positive
 the honesty`s to much...........  Sorry couldn`t resist;),0.4483213,neutral
oh ok i always wondered how that worked. i only have the top of my ear done. i dont think i could get anything else pierced,0.5717094,neutral
noooooooo...another headache...hopefully not a migraine,0.56509805,negative
10.11PM~ todays a drag for me. so bored. im about to get into the romance book so i prob wont be on til the morn  night twitter babes ;),0.50621,negative
"twitter fam, i`m about to hop back on AIM i went ghost on y`all lolz sowwy",0.7742894,neutral
 i make them good girls go bad,0.48717394,negative
Sites that republish my blog`s feed often end up higher than my blog on Google search results,0.6171222,positive
Going to have dinner. bbs,0.83818036,neutral
 we can all but hope... georgia is still wide awake and has the hiccups,0.4845482,neutral
no phone  i knew i should`ve charged it last night. SIGH,0.6644261,negative
 quite,0.6368479,neutral
oh yes! Level 40,0.7594638,positive
my baby`s off on his adventure. 14.5 hours in the car up to Lake Ann Mi. I admit it. I cried a little when the truck pulled out...,0.42139715,negative
 http://twitpic.com/4uyn9 - I NEED THIS. RIGHT NOW. THIS IS ABSOLUTELY MINDDDD BLOWING  I love this. So much!,0.98941725,positive
frustrated by my stupid iPhone I need a blackberry!!!!,0.96986526,negative
Woo - got a fast mobile broadband connection now,0.9410915,positive
 But I really want a Sporebat pet.,0.7688005,positive
I`m still at the mothers day lunch at my uncles house. Having a nice time!,0.97880816,positive
 Oh! I ate pizza last night too!  I stupidly feel closer to you somehow!,0.7043793,positive
" Oh right,sorry,now i get ya,But still 3000 email`s,wow,cool",0.68315625,positive
? I had great time in Boston. Thanks to my baby girl.   http://plurk.com/p/rplmy,0.99240196,positive
 my bad homie,0.7381358,negative
  i'm awake whats for breakfast lulu **** on a shingle ha ha ha,0.71541095,neutral
Good morning everyone,0.8408972,positive
" love this one, especially the shoes  anyway, gmn punya acc lookbook ya? http://lookbook.nu/look/92920",0.969497,positive
shake shake shake shake shake it,0.75462234,neutral
Raining again,0.48425254,neutral
good morning world,0.8846996,positive
i hope that everyone has been having a great week.  let me know if you think im crazy for hating coffee XD.,0.85910934,positive
back to br,0.78662443,neutral
Time to put the weapons on the charger for the night.  Sleep tight,0.76514256,neutral
Using tiffys computer...it feels different from mine... the touch is different.,0.6641431,neutral
And ... Happy Mother`s Day to all Moms   You sure are the ? heart of mankind.,0.98493826,positive
 Are they both still talking to you then?,0.8796899,neutral
I want Crimson Gem Saga.  I will just go play RF Guerilla demo repeatedly. I (Mission Failed - YOU DIED) so many times from dicking around,0.43166855,neutral
 lol that was a great movie,0.9827156,positive
will b having my last V tomorow   will have2live off of apples n not caffeine ;( n have2cut down on chocolate bye bye chocy,0.5714528,neutral
I was awoken by loud banging and it continues all day  Good thing I got an early rest last night!,0.82276165,positive
 Let`s go!,0.8020862,positive
feels really sick.,0.9264358,negative
Hecks yeah. Jandy timsamlake is too rawesome!,0.7972608,positive
**** internet jus cut me off!  was bout 2 shoot sum guys eye out  ~*~KANDI~*~,0.7987473,negative
 u don`t have school today????,0.6675387,neutral
Not only has it broken but it`s Monday!!Does this mean Monday can be fix`d?  ? http://blip.fm/~5jgio,0.654451,negative
People at work are stressing me out.,0.9642056,negative
 rt i have had few hearts the past few days on etsy  boo hoo....totally the same for me too ((((((,0.46616632,positive
love it when my sister brags! but she`s too tired too spell bowling right! haha its ok I <3 her!!,0.95243615,positive
never trust someone else`s battery operated power tools when you`re in a hurry,0.640901,negative
 Lol Your tweets are so funny! I met you in Calgary! You`re awesome  Can`t wait for the next HP movie!,0.9921739,positive
is off to work ... still 'recovering' from an amazing and beautiful weekend. Have I mentioned how incredible my friends are??,0.98840135,positive
 so`s the smell of cigarettes and alcohol... at least *i * like it.,0.45179778,neutral
All done. No more internship.,0.6551481,neutral
RIP to officer Edwards. May GOD continue to bless his family. What`s up wit cops killing cops. Seen the same thing happen on 'The WIRE'.,0.6404068,negative
"Invasion of the Old Ladies has just ended, still have to clean up not going to be able to make it to the tweetup tonight.",0.6884341,negative
`s current goal is to lose 10 pounds by next tuesday! 120 here i come   soooo ready for Gatlinburg!,0.90918565,positive
my best friends bought something which i really want.,0.9540892,positive
" It depends on your goals & how much you want to spend  Cannondale, Specialized and Cervelo are all good brands.",0.8162873,positive
On the phone to mum  http://tinyurl.com/otdn9u,0.85084605,neutral
 me tooo,0.676831,neutral
My net died so yeah....  I`m sad now,0.90879166,negative
 then am anticipating the next ten days!,0.82647383,positive
i dont know why i follow sme of the ppl that i do... they e anoying and boring. * note to self -unfollow peeps on monday morning,0.937807,negative
" yeah, when you start reaching your early-mid-20s",0.74019206,neutral
getting ready to babysit,0.79480374,neutral
Bad migrane and need to go to dancing tonight.... Not a good combination,0.9114488,negative
"Grinding Skyguard rep. This is less awful than I anticipated. Yet, still awful. Last tabard I need",0.86496377,negative
 i dunno if he saw it  happy birthday girl!,0.9418423,positive
 I`m looking forward too see and hear you in Norway!! Live fast!,0.9902575,positive
 awesome,0.91148573,positive
 actually workin from home tonight...  you?,0.87018746,neutral
 ****! I want to be at the beach in the sun,0.600476,positive
OH. I am just so tired.,0.95977014,negative
"Well, my dog still isn`t at the shelter. I hope someone good has him",0.48839396,neutral
 Well tell me what fashion tips you need and I`m your woman  hehehe,0.59348124,neutral
" Hello there, Taylor  I MISS YOU. Its been 2 months </3",0.4502094,neutral
i wear a lot of white  http://tinyurl.com/dlbltg,0.84484106,neutral
 Always a good idea.,0.91253525,positive
  I remember those days. I wasn`t a big fan of Wesley but I really felt for you as a youngster dealing with all that. But you WON!,0.60714537,negative
getting nails done!!! how relaxing! benji is only 24 hours away!!!!,0.96962625,positive
" not here for long hun, head hurts",0.9387476,negative
At walmart playing hide and seek.,0.7767726,neutral
 whatever do you mean?,0.7094033,neutral
All of a sudden I`m craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...,0.5846611,negative
 That it does  just wish more people would notice it,0.5682335,neutral
 your test works fine for me  tweetdeck is so cool eh?,0.9792347,positive
"Wish you were here, babe",0.5324073,positive
This morning I rode behind a guy with a bird cage containing a plastic Tyrannosaurus rex attached to his bicycle. I couldn`t get a photo.,0.581949,negative
"I love summer, but I oddly don`t want this school year to end.",0.41383895,negative
 lolz at your modesty...***kix rox***...now all the gals will be lined up at your door,0.65802157,neutral
"morning, how is everone? sing to me  You tuck me in, Turn out the light, kept me safe and sound at night. (8)",0.6142,positive
i so can`t be bothered working tomorrow!,0.7932151,negative
 kittens are cute then they grow up n become CATS,0.7988323,positive
 .. Guess ol` Tom has another mission impossible ... some of this is like trying to prove innocence .. I didn`t get hugged,0.5992774,negative
 Hey I was scared last night at 3:17 because of you... and I had several bad nightmares,0.9246326,negative
 gawd. People still remember the preggers comment. Hate you!,0.96035844,negative
oh no my tweetdeck is malfunctioning :O il have web will its fixd,0.5441433,negative
 heeeeey! You abandoned me here on Twitter momma dots?,0.69328356,negative
 yeah freakin sucks!!,0.97138715,negative
Off the a village May Fayre now.  Bag packed ready to bring back home-made goodies.,0.59062046,positive
#followfriday _1001 cuz ive never been added to anyone`s followfriday either  & cuz he`s got a cool picture,0.61095303,positive
Sooo tell me how I lost followerzzz,0.6333213,negative
 - thanks for the reply. Of course it doesn`t really explain it  I googled it but found no explanation.,0.45942992,negative
looking for people,0.7535839,neutral
wishes that you would see not with your eyes but with your heart.  http://plurk.com/p/sv5bb,0.6380575,neutral
 Awwww   i`ve got some photos of cute bunnies,0.6045997,positive
long day and i still have to mow the lawn,0.6032125,negative
Shoot. Only 12 miles,0.7988814,neutral
 why has it been so long since i have talked to you let alone seen you?? it makes me sad,0.9695337,negative
Happy mothers day mom  ?,0.8887108,positive
I want cookies for breakfast! Luckily I`m an adult and can do that!,0.9266826,positive
Mowing #6. I hate my lawn,0.97764754,negative
" you shouldnt have to reset more than once  if it doesn`t work right the first time, something is up",0.62857115,negative
 yeah.. I left cause my pc can`t run the client anymore. I had thought I would have a new one by now..,0.55283916,negative
Feeling bad for  profile pic,0.7832778,negative
CAPONES island in 2 days!!! my summer is just starting...,0.8970852,positive
movie then sleep! Today was good day  [{H!--D3ff}],0.9746386,positive
Planing on going on a little ride on the mtb on monday  may be in over to the tower...,0.8844029,neutral
**** fiesta at my house in my mouth  hit me up for the password,0.5852669,neutral
the live version is so much better  ? http://blip.fm/~79my3,0.9001694,positive
 There`s no pause button in the game of life.,0.61365354,neutral
" that`s black market material right there, my friend!",0.5993962,negative
is getting married in Vegas in November by an Elvis impersonator am so happy!!!,0.98977566,positive
 tried to join the chat but the site would not let me sign in,0.7814076,negative
 where is home??,0.7242186,neutral
singing songs and filming movies  what i do best,0.80944204,positive
Their songs make me want to cry..,0.38511527,neutral
While driving u come across aggressive driving behaviour by another driver. U should... Chase the car 2 tell the driver how to drive,0.58780324,negative
The Mediteranian Kitchen...oh well can`t get them all right.,0.6183676,negative
 what`s wrong?,0.63440955,negative
 Wasn`**** totally awesome?  Seeing the rebooted crew was so nice!,0.9892042,positive
"_d thats good to know, and I bet he looks just like you.",0.9456768,positive
_43 HAHHAHAH that really made me laugh out loudd! ahahahahahahahahah your fuunny!!,0.9739337,positive
i so wish i could get pregnant!!,0.3978187,neutral
 im trying to fix it.. it doesnt do it  and its 'ahi dios mio' but u did good lol,0.54479647,positive
 Hiya! Missed you too! What have you been up to?,0.50706977,neutral
out to play,0.6736909,neutral
Really sick,0.84504807,negative
yay  my `only on sundays` maid came!! the house will be clean again!!!,0.9652736,positive
"Thx, Robban  http://www.sk-gaming.com/match/17905",0.5365647,positive
 thanks JK!!!  Love ya to death,0.9826695,positive
Going to Al Ain.  Need to check out one store. Hope i find things that I`m looking for.,0.5940208,positive
Geeze- I`m just wondering what is wrong with some people. I either need to go for a run or go to sleep. Tomorrow should be a fun day.,0.5656889,negative
So my parents are too busy making me feel like **** to realise that I`ve got worse and need to see a doctor again. No sleep sucks,0.97864485,negative
" G`night Jonathan! I tried to stay up, I really did. I can`t wait till ur in my timezone! Will be so much easier then!",0.9652106,positive
Prom is so over rated!! Irritated... Going to bed goodnight,0.9750528,negative
"Look, everyone! I`m a bad boy! I`m ranked higher than Meghan McCain!  http://tinyurl.com/oj76mz",0.4619198,neutral
_rain i wanna see her hair  hows everyone?,0.7176351,neutral
 Or FTRH -- For The Ride Home,0.8974029,neutral
" english screwed up my overall percentage in X, in XII again and probably in adm tests too. **** happens.",0.9337205,negative
 i want chinese food really baaad.,0.70308065,positive
is downloading songs  http://plurk.com/p/rp8wx,0.8419734,neutral
" I almost said, 'and grammer no exist either' grunt.  But I stopped myself",0.5513749,negative
"_d you`re gonna take good care of that little baby and he`s gonna be a strong boy, that`s for sure",0.9517817,positive
 ha! lemme know what you find (tho I suspect it will be a lot of complaints). Have a peaceful night my friend,0.4605442,neutral
seeing shane dawson videos,0.90745145,neutral
  sad face.,0.6574586,negative
Aaaaahhhh.... Friday!!!! but.......     Funeral at 5,0.55554307,neutral
Already misses ,0.53481156,negative
"_laura_LP ok thanks for the help! I hope they respond to me sooner or later, then! thanks!",0.95947933,positive
  out of commish for a few days in ATL with fam.  Just saw the updates to the .net website... Looks AWESOME!,0.9865671,positive
" awww that sucks  also, when i finish uni, you should totally have a mini housewarming. yes, work it around my schedule, LOL.",0.4982458,negative
at famous dave`s with my mom. so hungry.,0.59904665,neutral
 I would vote for you Miley but I live in Ireland  You`ll be fine  Good luck! SlÃ¯Â¿Â½n!(bye in irish ) Sorcha xxxx,0.9019628,positive
"home for the nite, sleeping on the pull out bed with Maggie. wishing it was _durden  I got to find a apt",0.62411577,neutral
"Oh..Summer begins..yay..  The fighting, Crying and stress has started with the kids..It`s only been 3 hrs since they got out.",0.45794854,neutral
I feel so deflated. No more doggy.,0.9384401,negative
 sad about young love coming to an end  They were sooo cute together!,0.3558807,positive
 Omg really??  I sowwy! I`ll do it again! :-p I was tired when I did that this morning. :-p lol!,0.6662274,positive
"owww, back pain  hm, walmart or no? i could get cupcakes~",0.52253014,neutral
 i can`t believe that you guys are gonna stay just one day here in Rio de Janeiro again,0.48629543,neutral
Making my boyfriend look different.  He`s  cute no matter what. <3,0.96452254,positive
 LOL thx,0.75737673,positive
is working until 11 tonight  http://plurk.com/p/x2kbv,0.8819905,neutral
 well there go my peace corps prospects.,0.65385914,negative
rmbr the time when we torned for the night in sentosa? I was the only one who didnt have to spit out the ' 3 unknown facts' abt myself,0.7228489,neutral
" Good idea! I`ll have to remove all the old receipts, tissue paper and other nonsense before I can take a pic",0.4474598,neutral
"whatever will be, will be",0.56169844,neutral
Wango tango!!! Good night all,0.85845643,positive
 i`m not in the best financial situation myself at the moment. i`m beyond broke. my money is spend as soon as i earn it atm,0.85273236,negative
 hello you!  you should totally go to the biggest shopping center in Europe and we can go shopping together   ****,0.95331275,positive
Fixing openbox theme a little,0.7183347,neutral
Selling my laptop for CHEAP if anyone`s interested!  17' Toshiba 1.3gig ram,0.6631544,neutral
"If recent experience is anything to go by, I fear I might be going off Indian food. This is not good, people. Not good",0.97671676,negative
 i wish i wasn`t all  bummed but i kinda am,0.5519199,negative
 Hey Mitchel when will you be live again? I didn`t get a chance to call you,0.5111637,neutral
looking at the sunshine out of my office window,0.8951117,positive
Back is SORE... should not have done that jump last night,0.9395571,negative
 We are working,0.6038973,positive
'Brides a la mode' pow wow first thing this morning   This past weekend`s lovely wedding fresh in my mind... pics soon!,0.9548882,positive
"Just got my paycheck... April bonus can b deposited 2day the rest, gotta wait til Mon.",0.62696075,neutral
nope no way in to stop  just have to put up wiv it,0.52825844,negative
I recommend returning your broken duck toy with the batteis it came with or the person who your giving it to may get mad!!  trust me!,0.52621424,negative
" Not so much a substitute as a variation. Ate too much, too. Oof",0.7362736,negative
"such beautiful weather.. .why are u sick, baby ?  @ tanapolis",0.6733108,positive
 Oui mademoiselle. You can barely turn around these days without bumping into one.,0.49351355,neutral
Flickr pics Chester Zoo: danwtmoon posted a photo:   'WELCOME' to Chester Zoo by Jockey  http://tinyurl.com/cq7qw8,0.5283843,neutral
Woke up and watched Jon and Kate plus eight. I tried to pretend like they were still a normail family,0.6555896,neutral
 your`e a freak,0.8626012,negative
 i dont even know now lenaaa  when you going clothes show?,0.5964645,neutral
_jane yay! buti nagustuhan nyo. isang bar lang enclosed ko sa mail.  to test if matutunaw or hindi. next time uli.,0.84640145,neutral
Memories,0.7077624,neutral
 Yep. Nothing to worry about.,0.64085233,positive
back to work tomorrow  whose idea was it to go back on a saturday?!? Oh wait... that would be mine. FAIL.,0.7570245,negative
" Going to start very small, like $0.10 or $0.50  Then slowly to higher stakes",0.8603269,neutral
 Make a videoblog!,0.608318,neutral
reading Evermore by Lynn Viehl.,0.77081203,neutral
Wow what a storm we just had!!! Now no power,0.54177135,negative
getting my phone back this week  yeeeewww,0.8488323,positive
back from school  daily show was amazing  gonna watch it again later i think xD,0.9888664,positive
_breez Yer please do! Have a good day!,0.98181456,positive
#musicmonday Epic song. (Y)  ? 'Lights and Sounds' by Yellowcard ~ http://tinyurl.com/db7ppm,0.62652004,positive
 hot cuppa coffee made with milk & fortified with Monin`s Irish Coffee syrup! Bliss!,0.9371165,positive
right im out of here peeps.. i hope  fixes twitter mobile so i can tweet from the race.. m.twitter has been down for 4 days  #fail,0.7608671,negative
"My anticipated meet up with Tapan Parikh is no more  apparently he wont pass by Nairobi, and will head straight from Mombasa",0.82478917,neutral
watching Army Wives and it always makes me cry,0.63031083,negative
productive day 1,0.81997424,neutral
Rest In Peace  ADaM 12 & GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya,0.59942085,positive
 gotta love the summer,0.9821699,positive
Marking going ok so far A`s and B`s so far - relieved it looks like I have future programmers in class,0.9613071,positive
" alas no, it`s just a normal night  monday is quiz night",0.66313905,neutral
Did anyone go photographing today? I managed to get a few macro shots of some flowers that were blooming,0.7647914,positive
_buckley Good morning from sunny London...sounds like an oxymoron but happens to be true of today  Hurrah!,0.91804963,positive
 Cool. That`d be fantastic!,0.98294914,positive
live on stickam.com/itstyleryo COME CHAT!,0.64579433,neutral
   But  is right: This is like the Cape Breton coal mines but ++. No lessons learned.,0.47819966,neutral
" Yes, but I`m quite rusty.  I`m hoping to get back to it and 'tune up' my skills.  Tim plays guitar.  We threaten duets.",0.5980577,neutral
Hey everybody!  hah this day is cool! just got back from walk with the dog...  OMGosh! Send me the link again please!,0.986561,positive
 srry im not so interesting right now... stayed up til 6am cause my tummy hurt and now im pooped and have to work,0.9713217,negative
 me because I might not have enough money for college!!!,0.8137468,negative
lol! woow okay its not that big of a deal,0.8401316,positive
I love how when I leave my laptop on my bed it creates a nice toasty spot,0.98296815,positive
 I mean someone hit a dog with a car. It was just laying there,0.73300314,negative
 Does it start tomorrow?  I was going to book Sam on that and forgot,0.6638137,neutral
" salt and vinegar, cheese and onion make your breathe smell lol  ****",0.60908437,negative
 You`re welcome. There!  I added you already!,0.97292095,positive
"_rose Mornin` !  Missed dance time, so I guess I will have to dance extra hard tomorrow...",0.47539786,neutral
" Sorry to hear about your dude probs, what is it that`s too much?",0.79973453,negative
Discovered that Numpy arrays can hold values of any type.  Useful for manipulating arrays of numbers with uncertainties.,0.6770786,positive
"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today",0.6163902,negative
just downloaded the tweet deck....look at my and my saviness,0.62770987,neutral
TODAY FRIDAY: I really hope you will read my messages here and reply to me soon. I could not reach you by phone before you go to work.,0.5261248,neutral
 whatever i know you like it.  HAHAHHAH!,0.70797014,positive
oh no! my fun weekend with friends is gone! my mother has made a family weekend of it!  ****,0.6617989,negative
Good morning twitterland. Happy Monday,0.97898614,positive
Writing reports....,0.76594216,neutral
thanks timmy.  turns out he has strep and a high fever.,0.67700595,negative
" oh, that is very nice!! I will do something nice next week ~ going to Madrid next weekend for few days",0.9910528,positive
keeping it chilled.,0.6260446,neutral
what a beautiful day not to got to my first class,0.8346578,positive
 Fabulous. And I didn`t get that pic  Gmail be acting the fool sometimes. Can u DM me it?,0.45062175,neutral
" yeah, it`s terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",0.7406901,negative
_ that sucks!,0.97288954,negative
 yes it does,0.49034968,neutral
_datti Thanks sankar for ur wishes,0.8190941,positive
"I love waking up and thinking it`s a weekday, but then realizing it`s the weekend.",0.9513624,positive
" sorry bout the cat,",0.56118923,negative
 You`re the only person to have joined in  #penilewords,0.6348826,positive
Up and washed  I`m clothing myself as I type xD WOOOO,0.60007834,positive
 miss u too. I`m still at a club...u know...west coast ****!,0.5926177,neutral
 love love love pot psycology. My Friday night treat,0.98902684,positive
Happy Star Wars Day  May the fourth be with you!,0.98542863,positive
 Playing with lighters fire matches and grass,0.85837466,neutral
_art That would be the one.  It`s awesome sauce.,0.9598214,positive
"Bucky, my ferret officially has insulinoma  Now on daily prednisone. Had interview with p-doc today, have to go back monday for testing.",0.53121716,neutral
" I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit",0.7271261,neutral
coffee time,0.70493114,neutral
" He was creepy for me at first, but I did really grow to like him. I cried like a baby when he and Tosh died.",0.4386118,neutral
"_ really!? that son of a ****, screw him, ill talk to on msn later k  xox",0.9384721,negative
" We didn`t...but we did have to wait a good twenty minutes for one.  Good night, though!",0.6149749,positive
 I always hope they will die out but then i see the the old ones and it makes me sad,0.9223542,negative
" thanks Alen, it seems that we can only submit community news, is this an error, or must we prove ourselves",0.58333176,negative
 don`t follow me. You will ruin my twitter experience,0.9120742,negative
Blah to car repairs... almost 600 dollars...   Shopping around for a better deal.,0.5116373,neutral
Weetabix and Choco milk  Yum!,0.96160156,positive
 me too!,0.5845417,positive
I`m sad to have lost another person close to me to cancer,0.88863486,negative
_me Thanks! Kinda bittersweet though,0.868733,positive
_Nutbar Good morning  how are you? #TwitterTakeover,0.572751,positive
First time to Twitter..,0.79358566,neutral
Captain Jack is back,0.69488597,positive
"_la ben`s dreams make me so saddddddd  i want them to be togetherrr. i swear if this **** gets me bawlinggg, so help me..",0.9402827,negative
"Internet, you were so fast! And now you are so slow! Where did the fast connection go?",0.7677267,negative
 6 am.  you?,0.8484758,neutral
30 year old Barbie dolls still can rock it...that girl was H-O-T!  and Ken ain`t so bad either!  now those are memories!,0.9208619,positive
this weather makes my fingers numb / still waiting,0.811913,negative
 LOL yeah ima mama  thanks. happy mama`s day and lakers day! i love it!,0.9918538,positive
DONE--IT`S SUMMER!!!,0.6981607,positive
 I was just at Geno`s 3hrs ago.  Would have went to Pats but the Neon Lights got me lol.  Had drinks at South Philly Bar too,0.5022813,positive
http://yfrog.com/0xoxij Fry bread is good but they only gave me a little pinch of lettuce  ha ha,0.752649,positive
 Its WoW! effect  Thanks for the update.,0.959161,positive
"got up at 8 today, and also misses his friend ",0.475903,neutral
catching up on my reading... twitter n BF break,0.8146715,neutral
" No, that`s not right - I remember now.  You were in a fearless tweet - we were both seen as fearless.",0.49582276,neutral
  my thoughts dwell on a certain person,0.6317052,neutral
Transition time is over; tonight I work night shift. I woke up at 1330.,0.8228554,neutral
Gonna go to work with my honey today!!!! So exciting!!!,0.99147296,positive
_ aww thats too bad you lost it though,0.92623293,negative
 this my new more private acc. Will only use it for close twitter friends,0.7525834,neutral
I hate going online and looking at the balance in the bank.  its always a lot lower than I need it to be.,0.93001026,negative
" actually, the web works fine. tweetdeck seems to be the culprit  sadness! it`s done this at two diff. locations",0.627431,positive
_x How did your Geo ISU go? I swear I just had the worse day ever..,0.96751016,negative
"And you could have it all, my empire of dirt! I`m in a&e with dad I`m freezing fully shivering Every1 else is warm  no fones allowed ffs!",0.5219146,negative
 tell me what you think of Pride Prejudice and Zombies . . . if you`re not all hyped up on sugar,0.62937945,neutral
"_tdh Can you install ruby, gems and rails on keep? Please?",0.8863802,neutral
Out for ultimate training. looking forward to the sunset!,0.9571263,positive
going to work once again. what a great few days off i had. now it`s over  but atleast i get 2 more commin up wahooooooo,0.9603855,positive
 Good to see you back. Sorry that happened to you,0.79695225,positive
My 1st Mothers Day Tomorrow,0.8633513,neutral
"'you said 'darling what happened? did I fall asleep, and you carry me home? Cuz I know I wasn`t here'' Goodnight twitterererers",0.5790616,neutral
" I just about clear my whole office and no sign of it  next place is truck, I have yet to fully clean under back seat lol!",0.53382915,positive
 It`s not gonna storm!  because I said so!,0.50890714,neutral
 I broke my ipod,0.94140387,negative
_banks 'Something must be wrong. Only found 17 July Harl/Sil books I wanted,0.6090028,negative
 Haha and you should! State pride is important,0.93792,positive
" Ugh, did you just say your friend might have swine flu? OMG, why?",0.96284896,negative
" haha no problem, it`s fun isn`****",0.94399655,positive
"Finally got to wash my hair! I feel much better now, but I gotta dry it ... Effffffort.",0.8448264,positive
finally feel back into swing of things here at work after getting married last week! sigh of relief for no more wedding planning!,0.9190012,positive
 that sucks  booo.,0.94596577,negative
Hates untalented **** being mean to my talented friends,0.9264504,negative
looks like we`re rained out for weekend climbing,0.7843294,neutral
Is Google Maps not working for anyone else?,0.54782426,negative
 oh ****!!,0.8034686,negative
 i dont really trust the judgements and vouches of _xo   jk. i`ll think about becoming a friend of yours,0.57759905,negative
 Jesus heals,0.51624656,neutral
 It`s surprising how much Billy Idol turns up in tweets. I monitor constantly - not that I`m obsessed or anything!  #BillyIdol,0.61417377,positive
 werd. that`s very true,0.6358226,positive
 Your birthday? WELL Happy birthday,0.9789121,positive
Without wings again,0.5323693,negative
 did you tweet me? i thought i remembered seeing one but i cant see it now! SO glad teatree is ok!,0.80420333,positive
Night twitterland x I have to be up in five hours  sigh,0.54037774,negative
 Happy birthday in 2 hours and 54 minuets  Haha,0.9718846,positive
"lunch break`s over, going back to work....",0.79384744,neutral
Glad to see it`s a typical Bank Holiday weather wise - I was going to do so much today - yeah right!,0.9818779,positive
 Hayley Williams is pretty much amazzing,0.842653,positive
 the app said i need 12.1.5 or later,0.8005702,neutral
 --Nothing,0.70824957,neutral
is in PHP website upgrade hell on a Bank Holiday. How`s that for planning!,0.46286,negative
 not really having a good night... missing my little girl...,0.84222144,negative
  miss you captain,0.523729,neutral
Im sending this to my mother!  http://bit.ly/1aa1RF,0.65702486,neutral
" OI, are you mocking the fact I dont cry at tv things?!  *Feels bad*xxx",0.88827765,negative
 i am public and can`t get anyone to follow me,0.5857004,negative
" Until  brings back our EVERYONE button, access PT @ http://twitter.com/public_timeline or link in bottom of Settings.",0.7508072,neutral
 Boring? Who you been talking to? Lol not me  ( no ****),0.4779112,negative
"  I know, right? I guess the oldest doesn`t hold rank on field trips anymore.",0.50375885,negative
"just signed up..so, hello twitter world, here I am",0.49264967,positive
 I won`t be getting any ROTF toys `till MUCH later.  Tell me if anybody isn`t/is worth getting.,0.54467505,negative
 heading over to xbox  will go shopping 2morrow,0.6808915,neutral
 I saw that you were calling but cannot answer as I`m in the second hour of a phone convo with my mom and she won`t stop talking,0.61476725,negative
is excited!  http://plurk.com/p/stk04,0.9820909,positive
 hmmm really??? that`s weird idk about that one  sowwy,0.5333467,negative
 oh that looks boring  and even more boring you have an exam on a saturday,0.9646859,negative
Practice was a beast today. Not going to see Julian tonight,0.54437035,positive
"Getting somewhere with my first 'real' KiokuDB and catalyst app, yay",0.8987247,positive
 Thanks though - am trying to be positive!!  Wine may not be helping lol!!  Wish I could make the gigs.....,0.40190828,positive
 i think my niece got me sickee  lame.,0.780034,negative
Rise and shine  Time to get prettifide.,0.8464346,positive
" I tried sooooo hard to work from home today, but failed  Not my fault though.",0.77672136,negative
 Gosh I`ve a stinky old headache. Maybe I should have lunchfast,0.85018843,negative
Glenna is bored but glad that it is a beautiful day. Macy went swimming and Kris played golf while I sat at home waiting for them,0.9202958,positive
bout 2 have 1 more drink then imma head in da house,0.7987938,neutral
"i get so sucked in to true life, and that steve-o documentary was intense, i love that ****, it`s nice to see people get their lives back",0.9000132,positive
I love my life  Ni night twitter!<3,0.98766613,positive
 We knew what what you meant!,0.66959614,neutral
Succesfully following Tayla!!,0.9068296,positive
my new phrase is `you never doubt mo williams`   six game win streak!,0.86302197,positive
 Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there,0.9846808,positive
 4th... Please not! Maybe she`ll get 3 attempts and win tomorrow!!,0.53284836,neutral
trying to learn to tweet!!  it`s all good I hope..,0.93415123,positive
"Bleargh. I can never clean as much of my house as I want to before work, no matter how early I wake up. Today: sink, laundry.",0.8357978,negative
"Great, social network sites are still growing",0.9577441,positive
 If I got paid by the hour I could retire by now  do you have xBox live? I am thinking Rock Band,0.78241044,neutral
"I should learn not to walk all day, and then sprint through sprinklers without stretching.",0.5027885,neutral
 So...I was half asleep when I wrote the previous message. Greatest friends !!haha  You are!!,0.94535035,positive
 I`m still trying to see Star Trek! I`ll just have to Woman up and go alone. BF is pretty much worthless anyway  lol,0.42786124,neutral
"  Laws change in the 70s or 80s.   I could really push it bcause gran from Bathgate, but she was US citizen b4 dad born.",0.74871695,neutral
some of my new followers are pretty cool tweeps; check `em out.,0.9881423,positive
"no work today! went shopping, and now relaxing  &learning for the toefl",0.8171539,positive
Is off to watch arsenal v chelsea today,0.8211941,neutral
He`s getting ear tubes in about an hour so no food,0.4987488,negative
 yay asap lol awwh I miss our friday night happy hours even luna del sea and the 'boy' hahahaha,0.7129369,positive
left the bases loaded...,0.8283179,neutral
 Cowboy westerns...haven`t seen those in a while. good luck,0.6329313,positive
 It`s already over? ****!,0.6119007,negative
 I was trying to back all her documents up but it wasn`t playing along. its taking forever but am back at it again now,0.64876616,negative
